year,avgTemp,minTemp,maxTemp,rainFall,avgPrice
20150102,-6,-9,-1.9,0,2121
20150105,3.7,-1.1,7.9,0.4,2135
20150106,-3.2,-7.6,4,3,2172
20150107,-5.5,-8.9,-0.6,0,2194
20150108,-5.1,-9.5,-0.2,0,2144
20150109,-2.1,-6.8,3.5,0,2148
20150112,-2.7,-7.3,3.7,0,2150
20150113,0.2,-5.1,5.8,0,2130
20150114,2.5,-0.3,6.1,0,2130
20150115,2.8,-1.1,9,0,2121
20150116,0.8,-2.5,3.4,0.3,2124
20150119,-0.1,-4,3.1,0.1,2138
20150120,-0.9,-6.4,4.4,0,2138
20150121,2.6,-1.2,6.5,0,2140
20150122,3.1,0.8,7.1,0,2174
20150123,1.2,-1.6,4.9,0,2196
20150126,3.6,0.2,6.5,0.5,2196
20150127,-3.6,-7.4,0.5,0,2196
20150128,-4.1,-9.1,2.7,0,2196
20150129,-1.1,-4.6,3,0,2279
20150130,-3.3,-7,0.8,0,2270
20150202,-0.6,-5.3,6.4,0,2291
20150203,0.6,-3.5,7.2,0,2336
20150204,0.4,-3.1,5.8,0,2352
20150205,-0.1,-3.8,4.8,0,2342
20150206,0.4,-4.3,6.5,0,2348
20150209,-5.7,-13,-0.1,0.2,2368
20150210,1.7,-2,5.8,0,2363
20150211,2.7,-0.8,8,0,2370
20150212,-2.2,-4.7,1.6,0,2500
20150213,-1.6,-6.4,4,0,2513
20150216,5,4.1,7.9,10.5,2637
20150217,1.9,0.5,4.1,0.5,2609
20150223,0.9,-2.4,5.9,0,2629
20150224,2.1,-1.1,7.5,0,2619
20150225,5.4,0.2,12.5,0.5,2588
20150226,1.2,-3.5,4.7,0.5,2533
20150227,-1.3,-5.6,4.8,0,2521
20150302,3.9,-1.9,9.7,0,2525
20150303,2.8,-1.3,6.7,5.5,2466
20150304,-2.1,-4.6,1.4,0,2477
20150305,-0.3,-5.4,5.5,0,2479
20150306,2.9,-3.2,10.4,0,2427
20150309,2.2,-5.4,8.2,0,2462
20150310,-3.4,-6.9,1,0,2491
20150311,0.4,-5.1,7.5,0,2491
20150312,2.1,-3.5,6.7,0,2383
20150313,5.6,1.8,11,0.1,2322
20150316,9.8,1.3,18.6,0,2302
20150317,10.7,6.9,16.1,0,2285
20150318,10.7,8.4,14.4,1.5,2295
20150319,12.4,6.5,21,0,2304
20150320,13.4,7.6,21.9,0,2294
20150323,4.6,0,10.1,0,2294
20150324,5.4,-0.9,12.4,0,2294
20150325,6.5,0.1,14.2,0,2294
20150326,7.9,1.6,14.8,0,2294
20150327,9.1,3.2,16.2,0,2294
20150330,13.2,5.9,20.8,0,2260
20150331,12.9,10,14.9,2.5,2260
20150401,12.9,10,17.6,2.5,2260
20150402,14.8,8.5,21.8,28,2256
20150403,10.6,6.9,15.1,3.5,2256
20150406,10.3,6.9,15.4,0,2282
20150407,8.4,5.5,12.2,0,2308
20150408,8.3,3.5,13.7,0,2293
20150409,9.6,3.8,16.3,0,2303
20150410,11.6,4.6,19.2,0,2303
20150413,12,7.4,17.6,6.5,2335
20150414,6.9,5.8,8,10.5,2335
20150415,11.1,5.6,17,1,2339
20150416,9.9,6.9,14.8,7,2378
20150417,10.5,4.8,16.1,0,2378
20150420,12.2,10.3,16.8,5.5,2390
20150421,14,7.7,20.9,0,2384
20150422,14.2,9.3,20.7,0,2384
20150423,14.5,8,20.1,0,2399
20150424,15.7,10.4,22.8,0,2378
20150427,18.5,12.7,24.9,0,2378
20150428,20.3,12.3,26.9,0,2405
20150429,17,15.8,18.4,3.5,2405
20150430,21.2,15.1,28.3,0,2423
20150504,16.1,12.5,20.1,0,2423
20150506,15.4,9.8,22,0,2440
20150507,16.5,10.6,24,0,2428
20150508,16.7,11.7,22.7,0,2429
20150511,18.4,14.4,24.1,14,2431
20150512,13.3,10.3,17.5,9.5,2413
20150513,17.4,11.8,21.4,0,2437
20150514,20.4,15.3,26.6,0,2437
20150515,19.1,16.3,23.7,0,2437
20150518,17.7,13.7,22.2,0,2435
20150519,14.8,13,16.2,1,2441
20150520,16.3,10.6,21.9,0,2441
20150521,18.7,12.6,26,0,2409
20150522,20,13.7,27.2,0,2441
20150526,21.5,14.1,30.3,0,2441
20150527,23.2,14.4,31.5,0,2441
20150528,24.3,16.7,32.2,0,2450
20150529,23.8,18.5,29.8,0,2425
20150601,21.7,15.8,28.5,0,2468
20150602,23.1,18.1,29.8,0,2468
20150603,23.3,17.1,29.4,0,2468
20150604,24.2,17.1,31.5,0,2451
20150605,19.1,17.5,22,1,2460
20150608,22.4,18.2,27.8,0,2486
20150609,22.2,18.8,28.1,0,2486
20150610,25.3,17.6,34.9,0,2486
